i4x-IITBombayX-CS101_1x-video-0da35293c921479db06062db258f9b11, 21131.4
i4x-IITBombayX-CS101_1x-video-0e42365ee4d7497c89acbc7246f95a61, 100897
i4x-IITBombayX-CS101_1x-video-0ef1b924068e491194b9e008efa088e8, 16661
i4x-IITBombayX-CS101_1x-video-14183a8b0d30417f83a8ad24231d66ab, 14868.8
i4x-IITBombayX-CS101_1x-video-19a65cff56384ccd8788b8f8fc8e3723, 31545.4
i4x-IITBombayX-CS101_1x-video-2099d86d71e7472ba51de5032c5fd8fd, 64237.6
i4x-IITBombayX-CS101_1x-video-20b46f47de694bb68711be1806ed60f9, 59738.8
i4x-IITBombayX-CS101_1x-video-22641cdf101f4191bf5b4a923a4646e5, 12297
i4x-IITBombayX-CS101_1x-video-261f1ca457224477984a69e5e0f9ac4c, 33876.6
i4x-IITBombayX-CS101_1x-video-2c6ffa5792c84d4587fc9ecc4c372d74, 19833.3
i4x-IITBombayX-CS101_1x-video-2e83efb1ad5c4ba39a075eca242f6d52, 46891.1
i4x-IITBombayX-CS101_1x-video-384d076067a14df9b1c3b63325fef0ba, 10897.1
i4x-IITBombayX-CS101_1x-video-38958b14718e4e03aa3282e0156cc52b, 16236.6
i4x-IITBombayX-CS101_1x-video-40d4b25a7e564565aaa6ef88726aa6e0, 39435.3
i4x-IITBombayX-CS101_1x-video-4132ae1e4124493c8ab1edbfb6e80dfe, 38602.2
i4x-IITBombayX-CS101_1x-video-438bf18180274d23a8a82092feec01d4, 22678.7
i4x-IITBombayX-CS101_1x-video-4f62458015584c0bbf904ce09caacc5d, 145894
i4x-IITBombayX-CS101_1x-video-527fd874c69e487a87cd3e632b596347, 47721.4
i4x-IITBombayX-CS101_1x-video-5957b78252cc43cfaddef910cf506dd5, 51263.2
i4x-IITBombayX-CS101_1x-video-62598bbcc58949dabcd68f79f5b3652c, 64037.6
i4x-IITBombayX-CS101_1x-video-62fdb447b6144befb5bd1f66f8da766d, 53076.5
i4x-IITBombayX-CS101_1x-video-641407821f3a44ee9530a3ea900e2e80, 117907
i4x-IITBombayX-CS101_1x-video-666ac9647c7b4de4802d4310585767ec, 89705.1
i4x-IITBombayX-CS101_1x-video-67d60a96857549318894cc744c7bae45, 31254.7
i4x-IITBombayX-CS101_1x-video-688429f0036648f6852fcd2197c30195, 36275.4
i4x-IITBombayX-CS101_1x-video-6eb3c310694649e8b4560ccd18c93ab1, 65624.9
i4x-IITBombayX-CS101_1x-video-7df8e247ed0a4c198f6e14e3a773c2aa, 27428.7
i4x-IITBombayX-CS101_1x-video-7f4a5b8ee172412f8fda3d4284ff14af, 13727.1
i4x-IITBombayX-CS101_1x-video-7f7d0dc837aa4fecbc04c1a8df04ee6e, 112565
i4x-IITBombayX-CS101_1x-video-826444194f1542d482c0726f9d080ed3, 76729.1
i4x-IITBombayX-CS101_1x-video-86a672ad7f0a43d4919fc182d0dea88b, 30333.2
i4x-IITBombayX-CS101_1x-video-9746c3497d77460195c74a8e0588d589, 19719.4
i4x-IITBombayX-CS101_1x-video-9aa09a2f71a840b4ab4045fdc6286b55, 58672.8
i4x-IITBombayX-CS101_1x-video-9baf3bd2d9fa461a9a488279457037a6, 90743.6
i4x-IITBombayX-CS101_1x-video-a3d6a7442ff949409f2d34dddea9a984, 136052
i4x-IITBombayX-CS101_1x-video-a41e112edb0a40009370c1a874519b24, 36811.8
i4x-IITBombayX-CS101_1x-video-a43751d47a934a9da245f28a94e1759e, 112568
i4x-IITBombayX-CS101_1x-video-a67819e6acf2456c9059e2e3dbb85555, 34368.8
i4x-IITBombayX-CS101_1x-video-ac88b4fd7d1c4dc4aab8a3a912d6029d, 38104.3
i4x-IITBombayX-CS101_1x-video-adf16f0ca0524a14a9ed2ba4663289f7, 57494.1
i4x-IITBombayX-CS101_1x-video-b526cea522c144e3a692d2817126c85b, 63544.6
i4x-IITBombayX-CS101_1x-video-bd155f3df2254815ac1f6812f9b4e4bd, 113383
i4x-IITBombayX-CS101_1x-video-bed060e42cb34818aff4d9105059341a, 40861.7
i4x-IITBombayX-CS101_1x-video-bfaf4276d045462d8c0c22e8309f858f, 75354.7
i4x-IITBombayX-CS101_1x-video-cfb296bd686b408bb997fb14696235fa, 267450
i4x-IITBombayX-CS101_1x-video-d5cc17817ee34678bea3f5da66d00188, 36319.9
i4x-IITBombayX-CS101_1x-video-d8201d3718a34b3da9986374150dd966, 25682.5
i4x-IITBombayX-CS101_1x-video-e03113c234f14a848f725a44f8d1265d, 135019
i4x-IITBombayX-CS101_1x-video-e22ca4a334f945b1904881db31172044, 37150.7
i4x-IITBombayX-CS101_1x-video-eb58dba5325a4f2c85e228d7c4acb118, 58427.3
i4x-IITBombayX-CS101_1x-video-eccdc5020c6b49c7990bea7d8307b244, 93729
i4x-IITBombayX-CS101_1x-video-efb162c5e4aa40c48049eac47dd56a8b, 19485.6
i4x-IITBombayX-CS101_1x-video-eff67c7602e34209b5dcc1e46f8588d0, 16953.1
i4x-IITBombayX-CS101_1x-video-f5a8749c5ff84f59ab71d2cdab36764b, 25310.2
i4x-IITBombayX-CS101_1x-video-f61de37103ab42f2b50f5f5e43489e70, 73861
i4x-IITBombayX-CS101_1x-video-f6b932aa49774e9cb54cfe8177fcffa8, 81564.9
i4x-IITBombayX-CS101_1x-video-fa1f6040f46a43298cc25fc33db89a83, 145898
